,Code,Date,Title,Contents
0,101730,2023-08-31,위메이드 신작 공세ㆍ중국 진출로 실적 쌍...,"[' ', '위메이드 신작 공세ㆍ중국 진출로 실적 쌍끌이\r', ' ', ' ', ""'레전드 오브 이미르' 등 공백기 없는 신작 예고 … 액토즈소프트 분쟁 타결로 중국 시장 진출 긍정적\r"", ' ', '위메이드가 올 하반기 신작 공세와 중국 진출에 힘입어 실적 턴어라운드를 기대하고 있다.\r', ' ', ' ', ""위메이드는 올해 하반기부터 다양한 장르의 신작을 출시하고, '미르' 판권(IP)을 앞세워 중국 시장 진출에 나서며 증권가로부터 성장 가능성을 높게 평가받고 있다.\r"", ' ', ""위메이드는 지난 4월 신작 멀티플랫폼 게임 '나이트 크로우'를 선보이며 역대 분기 최대 매출을 새롭게 썼다. 지난 2분기 위메이드의 매출은 전년 동기 대비 46% 증가한 1593억원을 기록했다. 흥행세를 기록했으나 신작 마케팅비와 일회성 상여금이 반영된 인건비, 계약 관련 무형 자산 감가상각비 등 영업 비용이 크게 발생하며 영업적자를 이어갔다.\r"", ' ', '나이트 크로우는 구글 플레이 매출 2위, 애플 앱스토어 매출 1위를 기록하며 출시 4개월이 지났음에도 여전히 뛰어난 성적을 거두고 있다. 작품의 일 평균 매출은 약 9억원 수준이며 모멘텀이 지속되는 중이다. 특히 2분기 실적에 반영된 일회성 비용이 오는 3분기에 제거되며 영업익 측면에서 큰 폭의 상승세가 기대되고 있다.\r', ' ', ' ', ""위메이드는 연내 '나이트 크로우'에 블록체인 기술을 접목한 '나이트 크로우 글로벌'을 전세계 게임 시장에 선보일 계획이다.\r"", ' ', ""위메이드는 지난 2021년 8월 자사의 멀티플랫폼 게임 '미르4'에 블록체인 기술을 더해 아시아, 유럽, 남미, 인도 등 글로벌 전역에 선보인 바 있다. 이 작품은 출시 3개월 만에 전세계 동시 접속자 수 130만명을 돌파하는 등 큰 흥행을 낳았으며, 현재까지도 위메이드의 블록체인 게임 사업의 핵심 작품으로 활약하고 있다.\r"", ' ', ""위메이드가 올해 1월 론칭한 '미르M 글로벌' 역시 전세계에서 큰 흥행에 성공했다.\r"", ' ', ""나이트 크로우는 국내에서 '미르4'와 '미르M' 대비 월등한 매출 성적을 거두며 작품성을 증명하고 있다. 향후 글로벌 버전으로 전세계에 론칭할 시 앞선 작품의 흥행보다 더 나은 성적이 예측되고 있다. 특히 위메이드는 나이트 크로우의 글로벌 버전에 멀티 유틸리티 토큰 경제(MUTE), 캐릭터 추상화 기술을 적용한 NFT 경제(CANE) 등 보다 발전된 블록체인 경제를 도입하겠다고 밝혀 관심을 모으고 있다.\r"", ' ', ' ', ' ', ""위메이드는 다채로운 장르의 신작 공세에 나선다. 선봉에 선 것은 내년 상반기 출시 예정인 '레전드 오브 이미르'다. 이 작품은 위메이드의 계열사인 위메이드엑스알이 개발 중인 작품으로, 위메이드의 흥행작 '미르' 시리즈의 정통성을 계승하며 세계관을 북유럽 신화로 재구성한 작품이다.\r"", ' ', ""레전드 오브 이미르는 세계관 내에서 9000년마다 '라그나로크'가 발생하며, 이번 세대에서 일어나는 라그나로크를 막기 위해 주인공들이 협력하고 성장하는 이야기를 담았다. 특히 극실사를 지향해 실제 북유럽 배경과 최대한 흡사하도록 그래픽을 구성하고 모션 캡쳐와 페이셜 캡쳐를 적용해 디테일하고 현실적인 외형 움직임을 적용하는 등의 개발을 통해 게이머들에게 주목받고 있다.\r"", ' ', ""위메이드는 이 밖에도 ▲SNG 게임 '러브레시피' ▲MMORPG '미르의전설2: 기연' ▲수집형 RPG '발키리어스' ▲캐주얼 게임 '어비스리움 오리진' ▲퍼즐 RPG '던전앤스톤스' 등 다양한 장르의 신작을 출시하며 신작 공백기를 최소화한다. 오는 2025년에는 오랜 기간 공들여 개발 중인 대작 FPS 게임 '디스 민즈 워(가칭)'을 출시하는 등을 통해 포트폴리오를 넓히고 실적 상승에 나선다.\r"", ' ', ' ', ""한편 위메이드의 중국 시장 진출 역시 점차 속도를 내고 있다. 이 회사는 최근 액토즈소프트와 '미르' IP에 대한 저작권 갈등을 봉합하고 5000억원 규모의 '미르의 전설2·3' 라이선스 계약을 체결하는 등 중국 진출을 위한 발판을 만들고 있다.\r"", ' ', ""대신증권은 위메이드와 액토즈소프트의 '미르' 라이선스 계약에 대해 위메이드가 중국 내 우호적인 파트너를 확보한 것이라며, 액토즈소프트가 오랜기간 미르IP를 중국에서 운영해 온 회사기 때문에 중국 내에서 미르 IP의 가치를 제고하는데 도움이 될 것이라고 밝혔다. 특히 액토즈소프트의 모회사 세기화통의 최대 주주가 중국 최대 게임업체 텐센트이기 때문에 향후 다양한 협력이 있을 것이라 봤다.\r"", ' ', ""위메이드는 '미르' IP의 신작인 '미르4'와 '미르M: 뱅가드 앤 배가본드'를 중국 시장에 론칭할 계획이다. 개발 시점부터 중국 출시를 염두에 두고 작품을 개발했으며, 중국어 빌드는 이미 마련돼 있다. 추후 중국 현지 퍼블리셔를 선정한 후 판호 발급 및 서비스까지 이어갈 계획이다. 국내와 전세계에서 큰 인기를 끈 작품인 만큼 중국 시장에서도 큰 흥행이 기대된다""]"
1,101730,2023-08-31,곳,['터지나  합병발표 밤에하지말고 얼렁해 ']
2,101730,2023-08-31,8월에 매드엔진 합병한다고 하지않았나,"['오늘이8월 마지막날이니 오늘 발표하것네?\r', '응?현국아?']"
3,101730,2023-08-31,8월에 합병한다는 뉴스가 어딨음? [1],['개소리 ㄴㄴ']
4,101730,2023-08-31,"위메이드, 올해 최고 흥행작 '나이트 크...","[' ', ""위메이드, 올해 최고 흥행작 '나이트 크로우' 효과에 게임 사업 '활기'\r"", '기자명 이준호 기자 입력 2023.08.30 18:00\r', ' ', ' ', '[사진=위메이드]\r', ' ', ""[아시아에이=이준호 기자] 위메이드 게임 사업이 활기를 더하고 있다. 구글 플레이와 애플 앱스토어 양대 마켓 1위를 기록하며 올해의 흥행작으로 견고히 자리 잡은 '나이트 크로우' 역할이 크다.\r"", ' ', '올해 4월 국내 정식 출시된 나이트 크로우는 구글 플레이, 애플 앱스토어 매출 최상위권을 유지하며 장기 흥행 청신호를 밝히고 있다.\r', ' ', '30일 모바일인덱스에 따르면 나이트 크로우는 이날 기준 구글 플레이 매출 순위 2위를 기록하며 여전히 순항 중이다.\r', ' ', '더욱이 나이트 크로우는 중세 유럽 기반 신규 IP 발굴이었다는 점에서 의미 있다. 제4차 십자군 전쟁이 끝난 직후, 혼돈이 가득한 유럽을 바탕으로 하는 몰입도 높은 세계관과, 국내 MMORPG 중 처음으로 언리얼 엔진5가 적용된 고퀄리티 게임이라는 점에서 많은 주목을 받았다.\r', ' ', '출시 당일 8개 서버그룹으로 서비스를 시작한 나이트 크로우는 지속적인 이용자 증가세에 따라 서버 수가 2배 이상 대폭 증가했다. 현재 17개 서버그룹 총 51개 서버를 운영하고 있다.\r', ' ', '[사진=위메이드]\r', '[사진=위메이드]\r', '◇업데이트 방향 공유부터 다양한 컬래버까지...이용자 소통 강화 박차=나이트 크로우는 더욱 즐거운 플레이 경험을 제공하기 위해 이용자 의견을 개발에 적극 반영하고 있다. 특히 출시 직후부터 지금까지 공식 홈페이지 개발팀 서신(까마귀 서신)을 통해 향후 업데이트에 대한 방향성과 이용자 불편 사항을 적극 수렴하는 등 소통을 강화하고 있다.\r', ' ', ""적극적인 프로모션으로 이용자와의 접점도 확대하고 있다. 정식 출시 전에는 자동차 관련 3사 '더클래스, '겟차', '워시존'과 공동으로 제휴를 개최한 바 있다. 뿐만 아니라 '이마트24'와는 게임에 등장하는 8가지 직업을 상징하는 먹거리 상품 8종을 출시했고, 최근 매일유업 및 HK이노엔과 협업을 통해 스페셜 아이템을 제공하는 제휴 상품도 선보였다.\r"", ' ', '[사진=위메이드]\r', '[사진=위메이드]\r', ""나이트 크로우는 이달 대규모 업데이트를 통해 신규 필드 '트로네텔'과 '클래스 체인지' 등을 선보였다. 신규 필드 오픈에 따라 새로운 스토리와 다양한 퀘스트가 공개됐다. 클레스 체인지 도입으로 이용자들이 새로운 클래스로 전환해 색다른 전투 스타일을 즐길 수 있게 됐다. 31일 '서버 이전' 콘텐츠도 공개된다.\r"", ' ', ""다음달에는 기존 격전지와 특수 던전 마사르타 얼음동굴의 참여 서버를 확대한 '월드 격전지'와 '월드 특수던전'을 선보인다. 2개의 서버그룹이 매칭돼 총 6개 서버가 참여하며, 더욱 강력한 힘을 가진 몬스터가 등장한다. 그에 따른 보상도 더욱 상향될 예정이다.\r"", ' ', ""다른 이용자들과 힘을 합쳐 제한 시간 내 보스를 공략하고 보상을 획득하는 '보스 토벌' 콘텐츠도 추가된다. 대형 콘텐츠들이 대거 추가되며 기존 경쟁구도를 뒤엎고, 더욱 흥미진진해진 게임 플레이를 즐길 수 있게 될 것으로 전망된다.\r"", ' ', '한편, 위메이드는 연내 나이트 크로우 글로벌 진출에도 속도를 낸다. 블록체인 기술을 적용해 위믹스 플레이에 온보딩할 계획이다. 국내에서 게임성을 인정받은 만큼 글로벌에서도 좋은 성과를 얻을 것으로 기대된다.\r', ' ', '장현국 위메이드 대표는 지난 6월 진행된 \'위믹스 AMA 간담회\'에서 ""최근 국내 시장에 출시한 나이트 크로우가 매출 1등을 찍는 등 성공을 거뒀다. 올해 안에 위믹스 토크노믹스를 적용해 글로벌 시장에 출시하면 굉장히 큰 성공을 거둘 것으로 기대한다""며 ""미르4 등 전작들의 사례를 봤을 때 한국에서의 성과보다 더 큰 성과를 글로벌 시장에서 거둘 것으로 본다""고 자신감을 표하기도 했다']"
5,101730,2023-08-30,하루종일,"['챠트 잦같이 지저분하게 그리네 \r', '스발것들 ']"
6,101730,2023-08-30,"위메이드 ""나이트크로우 블록체인, 부가가... [1]","[' ', '위메이드 ""나이트크로우 블록체인, 부가가치 수준이 다르다""\r', '기자명 길용찬 기자 \r', ' ', '게임의 성과로만 토큰 획득, 이코노미 상호 보완 가능한 구조\r', ' ', ""[게임플] '나이트 크로우' 위믹스 블록체인이 한결 발전한 생태계 구조를 드러냈다. 블록체인 구조를 도입한 나이트 크로우 글로벌 버전은 연내 출시 예정이다.\r"", ' ', '위메이드는  자사의 위믹스 블로그를 통해 나이트 크로우와 블록체인 이코노미의 완성을 주제로 서비스 계획을 공개했다. 장기적 성장에 한계가 있었던 게임 이코노미를 개선하고, ""좋은 게임이 블록체인을 만나 훌륭한 게임으로 거듭나는"" 성장에 비중을 둘 것을 밝혔다.\r', ' ', ' ', '위믹스 팀은 ""인게임 이코노미에서 유저에 의해 더해진 부가가치의 결과물로서 블록체인상의 게임자산이 생산되며, 이를 통해 구축된 블록체인 이코노미가 인게임 이코노미와 간섭하거나 상호잠식하지 않고 서로 보완할 수 있도록 준비하고 있다""고 밝혔다.\r', ' ', ' ', ""나이트 크로우 블록체인은 게임의 가장 중요한 자산인 다이아를 비롯해, 많은 아이템들이 토큰화되는 멀티 유틸리티 토큰 이코노미 '프로젝트 MUTE'를 구현할 계획이다. 게임의 높은 완성도와 다양하고 안정된 인게임 경제를 통해 단일 유틸리티 토큰에서 벗어날 가능성을 갖췄다는 것이 근거다.\r"", ' ', ""서비스 시작과 함께 민팅 가능한 토큰은 총 7개다. 유저가 창출하는 부가가치를 재료로 하는 토큰으로서, 초기 발행량이 없다. 게임의 성과에 의해서만 민팅 가능하다. 단, 위믹스플레이의 게임파이에서 교환을 지원하는 '크로우'는 초기 유동성 공급에 필요한 일정 규모 토큰이 선발행된다.\r"", ' ', ""크로우는 나이트 크로우의 기축토큰이다. 인게임 거래소와 의뢰의 댓가로 얻은 다이아만을 통해 민팅되며, 다른 토큰들은 크로우를 기축토큰으로 한 거래소 'PNIX Dex'의 'Crow Market'에서 거래가 가능하다.\r"", ' ', '크로우는 자체적인 PSM을 갖추고 있어, 인게임 다이아의 가치와 차이가 많이 나는 경우 가격 안정화 범위로 복귀할 때까지 민팅이 일시 중단된다. 크로우는 소각을 통해 인게임 다이아로도 교환 가능하다.\r', ' ', ' ', ""'프로젝트 CANE'은 'Character Abstracted NFT Economy'의 준말로, 캐릭터 자산화를 위한 구조다. 나이트크로우의 캐릭터는 장비, 스킬을 비롯해 유저가 시간과 노력, 심지어 투자를 통해 키워낸 귀중한 자산이고 방대한 정보다.\r"", ' ', '나이트 크로우는 게임의 규칙 내에서 캐릭터의 소유권이 유저에게 있음을 인정해 NFT민팅을 지원한다고 밝혔다. 방대한 캐릭터 정보를 알기 쉬운 속성으로 압축하는 캐릭터 추상화 기술을 통해 만들어진다. 이 NFT가 토크노믹스와 함께 블록체인 이코노미의 양대 주축을 구성하는 구조다.\r', ' ', 'NFT 이코노미는 위믹스의 NFT플랫폼인 나일(NILE)을 통해 고도화된 마켓플레이스를 위믹스플레이에 적용한다. 이로써 NFT의 공정한 시장가치에 대한 정보의 불균형을 해소하고 원활한 거래를 지원한다는 계획이다.\r', ' ', 'SSS(스트리머 서포트 시스템) 역시 글로벌 버전에 함께 도입된다. 적립과 지급은 위믹스를 통해 진행되며, 시간과 장소에 제한받지 않고 전세계 스트리머와 유저를 나이트 크로우 중심으로 연결하는 것이 목표다.\r', ' ', '위믹스 팀은 ""나이트 크로우 연내 정식서비스를 위한 공식 행보를 개시할 예정""이라면서 ""나이트크로우 글로벌을 통해 선보이게 될 블록체인 게이밍과 블록체인 이코노미의 완성에 커뮤니티 여러분의 많은 관심과 응원을 부탁한다""고 밝혔다']"
7,101730,2023-08-30,미르 로열티 꼽히면,"['맥스로 들어오나요?\r', ' ', '아니면 위메이드로 바로 꼽히나요?']"
8,101730,2023-08-30,판호,['발급안나오냥']
9,101730,2023-08-30,"위메이드, 장기흥행작 ‘나이트크로우’, ...","['위메이드, 장기흥행작 ‘나이트크로우’, 월드 격전지 등장 예고\r', '입력2023.08.30. 오전 11:36 기사원문\r', ' ', '개발팀 서신 통해 상세 일정 공개…장기 흥행 도전\r', ' ', ' ', '원본보기\r', '위메이드의 ‘나이트크로우’가 오는 9월에도 장기 흥행을 위한 업데이트에 나선다. 기존 3개 서버가 참여하는 격전지 ‘킬데바트’에 이어 2개 서버 그룹 총 6개 서버가 겨루는 ‘월드 격전지’가 추가되고 인기 사냥터 ‘마사르타 얼음 동굴’의 월드 특수 던전 버전도 공개될 예정이다.\r', ' ', '위메이드는 지난 28일 ‘나이트크로우’ 개발진의 여섯 번째 서신을 공지하고 9월 업데이트 계획을 공개했다. 공지에 따르면 9월 7일 ‘의상 시스템’, 9월 14일 ‘보스 토벌’, 9월 21일 ‘월드 격전지’와 ‘월드 특수 던전’ 등이 예정됐다.\r', ' ', '이중 핵심은 ‘월드 격전지’와 ‘월드 특수 던전’이다. ‘월드 격전지’는 ‘나이트크로우’의 핵심 콘텐츠인 격전지의 확장 버전이다. 기존 하나의 서버 그룹 총 3개 서버의 이용자가 참여하던 격전지를 2개 서버 그룹 총 6개의 서버 이용자가 참여할 수 있도록 확장한 것이 특징이다. 한층 강력한 몬스터와 보스, 상향된 보상이 제공되며 기존 킬데바트 격전지와 동일하게 상시 운영될 예정이다.\r', ' ', '인기 사냥터 ‘마사르타 얼음 동굴’도 월드 단위로 추가 확장한다. 현재 단일 서버 그룹 기반의 참여 방식이 아닌 월드 단위로 확장해 ‘월드 격전지’의 매칭 서버 그룹을 공유하는 형태다. ‘월드 특수 던전’의 이용시간도 기존 ‘마사르타 얼음 동굴’의 사용시간을 공유하게 된다.\r', ' ', '이에 앞서 9월 7일에는 의상 시스템도 도입한다. 정해진 외형 복식만 착용할 수 있던 형태에서 한층 자유로운 외형 꾸미기가 가능해진다. 클래스 공용의 신규 의상 추가와 다른 클래스 의상 착용 기능 도입, 부위별 색상 변경이 가능한 염색 기능 등이 예고됐다.\r', ' ', '9월 14일에는 다른 이용자와 협력해 제한된 시간 동안 보스를 공략하는 ‘보스 토벌’도 적용된다. 일일 콘텐츠 방식으로 제공해 참여 부담과 혼잡도를 최소화할 계획이다.\r', ' ', '여기에 클래스 밸런스 조정과 최근 선보였던 클래스 체인지도 주기적으로 진행해 이용 환경 개선에 힘쓸 예정이다.\r', ' ', '‘나이트크로우’는 매드엔진이 개발한 모바일 기반의 멀티플랫폼 MMORPG다. 지난 4월 27일 출시 이후 국내 구글 플레이 매출 순위 1위를 기록한바 있으며 현재도 2위를 유지하며 꾸준한 성과를 내고 있다. 현재도 일평균 매출이 9억원 수준을 유지 중이라는 것이 위메이드측의 설명이다. 위메이드는 연내 ‘나이트크로우’의 블록체인 버전을 전세계 시장에 내놓을 예정이며 국내와 달리 마케팅 비용이 20% 수준에 그칠 것으로 예측하고 있다.\r']"
