,Theme,Name
29,K-뉴딜지수(2차전지),"['SK아이이테크놀로지', 'LG화학', '후성', '포스코퓨처엠', '천보', '삼성SDI', 'SK이노베이션', 'SKC', '엘앤에프', 'LG에너지솔루션', '에코프로비엠', '솔루스첨단소재', '롯데에너지머티리얼즈', '솔브레인']"
30,공기청정기,"['에스피지', 'LG전자', '코웨이', '씨앤투스', '성호전자', '쿠쿠홈시스', '위닉스', '크린앤사이언스', '삼성전자', '신일전자', '위니아', '오텍', '카스']"
31,우크라이나 재건,"['에스와이', '삼부토건', 'TYM', '유신', 'HD현대건설기계', '다산네트웍스', '대모', '현대건설', 'HD현대인프라코어', '도화엔지니어링', '다스코', '현대에버다임', '퍼스텍', '이노인스트루먼트', '에쓰씨엔지니어링', '디와이디', '서암기계공업', '수산중공업', '프리엠스', '혜인', '한국테크놀로지', 'KH 건설', '현대코퍼레이션', '서연탑메탈', '대양전기공업', '스페코', '동일고무벨트', '코드네이처', '디와이파워', '휴림네트웍스', '웰바이오텍', '리노스', '국보']"
32,2차전지(LFP/리튬인산철),"['코윈테크', '자이글', 'LG화학', 'SK이노베이션', '팬스타엔터프라이즈', '씨아이에스', '엘앤에프', 'LG에너지솔루션', 'EG', '브이티', '파워넷', '아모그린텍']"
33,조선,"['한화오션', '삼성중공업', 'HD한국조선해양', '현대미포조선', 'HD현대중공업', 'HJ중공업']"
34,요소수,"['TKG휴켐스', '롯데정밀화학', '유니온', '유니온머티리얼', 'KG케미칼']"
35,2차전지(전고체),"['동화기업', 'SK아이이테크놀로지', 'LG화학', '티에스아이', '천보', '삼성SDI', '이수스페셜티케미컬', 'SK이노베이션', '미래컴퍼니', '씨아이에스', '테이팩스', 'LG에너지솔루션', '이수화학', '한농화성', '롯데에너지머티리얼즈', '한송네오텍', '미코', '아바코', '디에이테크놀로지', '대주전자재료', '덕산테코피아', '레몬']"
36,환율하락 수혜,"['S-Oil', 'POSCO홀딩스', '현대제철', '고려아연', '대한제당', '동국홀딩스', '풍산', '대한해운', '대한항공', 'CJ제일제당', '삼양홀딩스', '오뚜기', '한국가스공사', '한국전력', '혜인', '대상', '아시아나항공', '하나투어', '오리온', '하이트진로', '모두투어', '한탑', '농심', '동원F&B', '대한제분']"
37,플렉서블 디스플레이,"['파인텍', '디이엔티', 'LG디스플레이', '코오롱인더', 'SK이노베이션', 'SKC', '브이원텍', 'PI첨단소재', '루멘스', 'AP시스템', '에스에프에이', '아이컴포넌트', '삼성전자', 'HB솔루션', '비아트론', '유티아이', '신도기연', '필옵틱스', '경인양행', '인터플렉스', '주성엔지니어링', 'DMS', '코세스', '덕산네오룩스']"
38,증강현실(AR),"['이노시뮬레이션', '나노캠텍', '버넥트', '한빛소프트', '세코닉스', '커머스마이너', '덱스터', '위지윅스튜디오', '텔레칩스', '넷마블', '이랜텍', '라온텍', '젬백스링크', '가온그룹', '다날', '엔씨소프트', '아이엠', '에이트원', '아이오케이', '드래곤플라이', '신도기연', '엠게임', '디모아', '맥스트', '팅크웨어', '에스넷']"
